,Names,Ids
0,New Jersey Devils,1
1,New York Islanders,2
2,New York Rangers,3
3,Philadelphia Flyers,4
4,Pittsburgh Penguins,5
5,Boston Bruins,6
6,Buffalo Sabres,7
7,Montréal Canadiens,8
8,Ottawa Senators,9
9,Toronto Maple Leafs,10
10,Carolina Hurricanes,12
11,Florida Panthers,13
12,Tampa Bay Lightning,14
13,Washington Capitals,15
14,Chicago Blackhawks,16
15,Detroit Red Wings,17
16,Nashville Predators,18
17,St. Louis Blues,19
18,Calgary Flames,20
19,Colorado Avalanche,21
20,Edmonton Oilers,22
21,Vancouver Canucks,23
22,Anaheim Ducks,24
23,Dallas Stars,25
24,Los Angeles Kings,26
25,San Jose Sharks,28
26,Columbus Blue Jackets,29
27,Minnesota Wild,30
28,Winnipeg Jets,52
29,Arizona Coyotes,53
30,Vegas Golden Knights,54
31,Seattle Kraken,55
